iter	Logloss
0	0.6556992074
1	0.6264123903
2	0.5998745182
3	0.5770116388
4	0.5577792407
5	0.5411864018
6	0.5255167094
7	0.5128897462
8	0.5008691443
9	0.4914048476
10	0.4830918548
11	0.4753968222
12	0.4679866483
13	0.4609751222
14	0.4550279937
15	0.4499419584
16	0.4460669542
17	0.4414637952
18	0.4377256398
19	0.4347599655
20	0.4314501933
21	0.4285234386
22	0.4261914739
23	0.4236895235
24	0.4216294142
25	0.4198007078
26	0.4176925052
27	0.4161812485
28	0.4146604147
29	0.413285289
30	0.41184885
31	0.4105842697
32	0.4090512429
33	0.4076674457
34	0.4064652093
35	0.4054517485
36	0.4044048638
37	0.4034382327
38	0.4026167298
39	0.4016574378
40	0.4009342207
41	0.4002187299
42	0.3993875484
43	0.3986280497
44	0.3978566951
45	0.3968713619
46	0.3962362165
47	0.3953695071
48	0.3944562449
49	0.3936939603
50	0.393103508
51	0.3923397045
52	0.3917021691
53	0.3906486412
54	0.3901944691
55	0.3899781328
56	0.3897078458
57	0.3891345404
58	0.3886974514
59	0.3884865751
60	0.3879443873
61	0.3869193228
62	0.3862187869
63	0.3859743244
64	0.3856169124
65	0.3851864829
66	0.3844753726
67	0.3839050233
68	0.3836080789
69	0.3832383603
70	0.3827225464
71	0.3823205745
72	0.3819528672
73	0.3814145221
74	0.381078394
75	0.3804619739
76	0.3799354407
77	0.3795273977
78	0.3792281936
79	0.3788723913
80	0.378476185
81	0.3780214644
82	0.3774269121
83	0.3770796141
84	0.3769001707
85	0.3762490985
86	0.375800236
87	0.3753869382
88	0.3751828758
89	0.3749120532
90	0.3746918011
91	0.3743178601
92	0.3740656575
93	0.3738602745
94	0.3736473194
95	0.3735060434
96	0.3732966232
97	0.3729492839
98	0.3727560504
99	0.3725031304
