iter	Passed	Remaining
0	46	4585
1	46	2292
2	47	1528
3	47	1146
4	48	915
5	48	762
6	49	652
7	49	568
8	49	504
9	50	452
10	50	410
11	51	375
12	51	346
13	52	320
14	52	298
15	53	278
16	53	261
17	53	245
18	54	232
19	54	219
20	55	208
21	56	198
22	56	189
23	56	180
24	57	172
25	57	164
26	58	157
27	58	151
28	59	145
29	59	139
30	60	134
31	60	128
32	61	124
33	61	119
34	62	115
35	62	111
36	63	107
37	63	103
38	63	100
39	64	96
40	64	93
41	65	90
42	65	87
43	66	84
44	66	81
45	67	78
46	67	76
47	68	73
48	68	71
49	69	69
50	69	66
51	70	64
52	70	62
53	70	60
54	71	58
55	71	56
56	72	54
57	72	52
58	72	50
59	73	48
60	73	47
61	74	45
62	74	43
63	75	42
64	75	40
65	76	39
66	76	37
67	77	36
68	77	34
69	78	33
70	78	32
71	78	30
72	79	29
73	79	28
74	80	26
75	80	25
76	81	24
77	81	23
78	82	21
79	82	20
80	83	19
81	83	18
82	84	17
83	84	16
84	85	15
85	85	13
86	85	12
87	86	11
88	86	10
89	87	9
90	87	8
91	88	7
92	88	6
93	89	5
94	89	4
95	89	3
96	90	2
97	90	1
98	91	0
99	91	0
